size,name,price,calorie,protein,fat,carbohydrate,dietary_fiber,isSetMain,isSetSide,isSetDrink
,コカ・コーラ ゼロ,100,0,0,0,0,-,,,
,コカ・コーラ ゼロ,220,0,0,0,0,-,,,
,コカ・コーラ ゼロ,250,0,0,0,0,-,,,
,コカ・コーラ,100,90,0,0,22.7,-,,,
,コカ・コーラ,220,140,0,0,35.1,-,,,
,コカ・コーラ,250,181,0,0,45.4,-,,,
,スプライト,100,76,0,0,18.9,-,,,
,スプライト,220,117,0,0,29.3,-,,,
,スプライト,250,151,0,0,37.8,-,,,
,ファンタ グレープ,100,101,0,0,25.2,-,,,
,ファンタ グレープ,220,156,0,0,39,-,,,
,ファンタ グレープ,250,202,0,0,50.4,-,,,
,ファンタ メロン,100,101,0,0,25.2,-,,,
,ファンタ メロン,220,156,0,0,39,-,,,
,ファンタ メロン,250,202,0,0,50.4,-,,,
,Qoo すっきり白ブドウ,100,94,0.2,0.2,22.9,-,,,
,Qoo すっきり白ブドウ,220,146,0.3,0.3,35.4,-,,,
,Qoo すっきり白ブドウ,250,189,0.4,0.4,45.8,-,,,
,爽健美茶,100,0,0,0,0,-,,,
,爽健美茶,220,0,0,0,0,-,,,
,爽健美茶,250,0,0,0,0,-,,,
,アールグレイ アイスティー,100,2,0,0,0,0,,,
,アールグレイ アイスティー,220,3,0,0,0,0,,,
,アールグレイ アイスティー,250,3,0,0,0,0,,,
,ホットティー,100,2,0.2,0,0.2,0,,,
,ホットティー,220,3,0.3,0,0.3,0,,,
,野菜生活100,150,77,0.8,0.1,18.2,0.4,,,
,野菜生活100,240,119,1.2,0.2,28.1,0.7,,,
,野菜生活100,270,156,1.6,0.3,36.7,0.9,,,
,ミニッツメイド オレンジ,150,94,1.5,0.2,21.8,0.4,,,
,ミニッツメイド オレンジ,240,146,2.3,0.3,33.8,0.7,,,
,ミニッツメイド オレンジ,270,189,2.9,0.4,43.7,0.8,,,
,ミニッツメイド アップル100,130,96,0,0,23.8,-,,,
,ミルク,190,138,6.8,7.8,9.9,0,,,
,サントリー黒烏龍茶#濃いめ,250,3,0,0,1,0.3,,,
,プレミアムローストコーヒー,100,7,0.3,0,1.2,0,,,
,プレミアムローストコーヒー,150,12,0.6,0,2.1,0,,,
,カフェラテ,150,85,4.2,4.8,6.3,0,,,
,カフェラテ,200,119,5.9,6.7,8.8,0,,,
,キャラメルラテ,210,136,4.3,4.8,18.7,0,,,
,キャラメルラテ(M),260,170,6,6.7,21.2,0,,,
,プレミアムローストアイスコーヒー,100,6,0.3,0,1,-,,,
,プレミアムローストアイスコーヒー,150,9,0.5,0,1.6,-,,,
,プレミアムローストアイスコーヒー,210,12,0.6,0,2.1,-,,,
,アイスカフェラテ,150,73,3.6,4,5.4,0,,,
,アイスカフェラテ,200,103,5.1,5.7,7.6,0,,,
,アイスキャラメルラテ,210,136,4.3,4.8,18.7,0,,,
,アイスキャラメルラテ,260,170,6,6.7,21.2,0,,,
