size,name,price,calorie,protein,fat,carbohydrate,dietary_fiber,isSetMain,isSetSide,isSetDrink
,チキンタツタ,390,379,18.2,16.6,39.3,2.5,,,
,チキンタツタ めんたいチーズ,390,482,21.3,25.9,41.1,2.6,,,
,チキンタツタ,390,379,18.2,16.6,39.3,2.5,,,
,チキンタツタ めんたいチーズ,390,482,21.3,25.9,41.1,2.6,,,
,エッグマックマフィン,200,311,19.2,13.5,27.1,1.7,,,
,ベーコンエッグマックサンド,200,299,15.9,13.2,28.1,1.2,,,
,ソーセージエッグマフィン,250,475,21.5,30.6,27.3,1.7,,,
,ソーセージマフィン,110,395,15,25.1,27.2,1.7,,,
,チキンクリスプマフィン,140,364,15.2,17.3,37,2.5,,,
,フィレオフィッシュ,340,323,14.4,13.9,35.8,2.1,,,
,ホットケーキ,300,319,8,8.6,52.7,2.8,,,
,マックグリドル ソーセージエッグ,300,550,20.3,33.2,42.4,1.7,,,
,マックグリドル ベーコンエッグ,300,396,15.7,18.1,42.4,1.8,,,
,マックグリドル ソーセージ,150,420,10.4,23.8,41.9,1.6,,,
,メガマフィン,350,695,29.7,49.7,31.2,2,,,
,ビッグブレックファスト(ハッシュポテト含む),400,659,26.3,42.8,39.9,3.3,,,
,ビッグブレックファスト デラックス(ハッシュポテト含む),600,978,34.2,51.4,92.7,6.1,,,
,チキンタツタ,390,379,18.2,16.6,39.3,2.5,,,
,チキンタツタ めんたいチーズ,390,482,21.3,25.9,41.1,2.6,,,
,ビッグマック,390,525,26,28.3,41.8,2.6,,,
,グラン クラブハウス,490,527,26.5,30.7,36.8,2.4,,,
,グラン ベーコンチーズ,390,489,27.3,26.6,35.5,1.9,,,
,グラン ガーリックペッパー,390,428,19.9,21.7,38.9,2.3,,,
,ダブルチーズバーガー,340,457,26.5,25,31.4,1.7,,,
,てりやきマックバーガー,340,478,15.5,30.2,36.4,1.7,,,
,フィレオフィッシュ,340,323,14.4,13.9,35.8,2.1,,,
,チキンフィレオ,360,465,20,21.9,47.3,2.8,,,
,てりやきチキンフィレオ,370,498,20.2,23.2,52.4,2.8,,,
,ベーコンレタスバーガー,360,374,17.7,20.8,29.1,1.7,,,
,えびフィレオ,390,395,12.5,17.4,47.7,2.9,,,
,スパチキ(スパイシーチキンバーガー),200,389,14.2,20.2,38.1,2.2,,,
,エグチ(エッグチーズバーガー),200,387,22.3,18.9,31,1.5,,,
,チキチー(チキンチーズバーガー),200,431,17.1,23,39.2,2.2,,,
,マクポ(ベーコンマックポーク),200,419,17.2,23.7,34.3,1.5,,,
,ハンバーガー,110,256,12.8,9.4,30.3,1.5,,,
,チキンクリスプ,110,345,14,15.5,37.7,1.9,,,
,チーズバーガー,140,307,15.8,13.4,30.8,1.5,,,
,ごはんチキンタツタ,440,402,15.6,13.7,54,1.3,,,
,倍ビッグマック,490,724,41.4,43.4,41.8,2.7,,,
,倍グラン クラブハウス,590,693,39.8,43.2,36.8,2.5,,,
,倍グラン ベーコンチーズ,490,655,40.6,39.1,35.5,2,,,
,倍グラン ガーリックペッパー,490,594,33.3,34.2,38.9,2.3,,,
,倍ダブルチーズバーガー,440,655,42,40.1,31.4,1.8,,,
,倍てりやきマックバーガー,440,728,25.8,50,44.1,1.8,,,
,倍フィレオフィッシュ,440,434,22.7,18.6,45,3,,,
,倍チキンフィレオ,460,709,34.8,34.7,64.4,3.9,,,
,倍てりやきチキンフィレオ,470,768,35.3,36.1,76,4,,,
,倍ベーコンレタスバーガー,460,473,25.5,28.4,29.1,1.8,,,
,倍えびフィレオ,490,553,19.4,25.5,62.8,3.9,,,
,倍スパチキ(倍スパイシーチキンバーガー),300,542,23.2,28.7,48,2.9,,,
,倍エグチ(倍エッグチーズバーガー),300,486,30,26.5,31,1.6,,,
,倍チキチー(倍チキンチーズバーガー),300,584,26.1,31.6,49.1,2.9,,,
,倍マクポ(倍ベーコンマックポーク),300,642,27.2,43.5,35.5,1.5,,,
,倍ハンバーガー,210,356,20.6,16.9,30.3,1.6,,,
,倍チキンクリスプ,210,498,23,24,47.6,2.5,,,
,倍チーズバーガー,240,406,23.5,21,30.8,1.6,,,
