size,name,price,calorie,protein,fat,carbohydrate,dietary_fiber,isSetMain,isSetSide,isSetDrink
,チキンマックナゲット 5ピース,200,270,15.8,17.2,13.1,0.9,,,
,チキンマックナゲット 15ピース,580,810,47.3,51.6,39.2,2.6,,,
,サイドサラダ,280,10,0.5,0.1,2.3,0.8,,,
,ハッシュポテト,130,145,1.3,9.7,13,1.6,,,
,スイートコーン,230,58,1.8,1.0,10.2,2,,,
,ひとくちタツタ,200,139,6.6,7.2,11.7,0.7,,,
,マックフライポテト,150,225,2.9,11.3,28,2.6,,,
,マックフライポテト,280,410,5.3,20.6,51,4.8,,,
,マックフライポテト,330,517,6.7,25.9,64.3,6,,,
,チキンマックナゲット 5ピース,200,270,15.8,17.2,13.1,0.9,,,
,チキンマックナゲット 15ピース,580,810,47.3,51.6,39.2,2.6,,,
,サイドサラダ,280,10,0.5,0.1,2.3,0.8,,,
,スイートコーン,230,58,1.8,1.0,10.2,2,,,
,シャカチキ(チキンのみ),150,243,14.8,12.8,17.2,1.1,,,
,シャカチキ レッドペッパー,150,249,15,12.9,18.3,1.2,,,
,シャカチキ チェダーチーズ,150,252,15.3,13.1,18.2,1.1,,,
,ポテナゲ大,500,1057,38.2,60.3,90.4,7.7,,,
,ポテナゲ特大,800,1844,60.6,103.4,167.7,14.6,,,
